timestamp,GMXXX_NO2 (ppm),GMXXX_Ethanol (ppm),GMXXX_VOC (ppm),GMXXX_CO (ppm),MiCS5524_CO (ppm),MiCS5524_Ethanol (ppm),MiCS5524_VOC (ppm),label
1765203945293,0.805000,0.597000,0.161000,0.129000,7.502000,6.867000,2.465000,level_1_state_1
1765203946151,0.805000,0.597000,0.160000,0.128000,7.172000,6.475000,2.343000,level_1_state_1
1765203946202,0.803000,0.597000,0.160000,0.126000,7.502000,6.867000,2.465000,level_1_state_1
1765203946806,0.803000,0.597000,0.159000,0.127000,7.172000,6.475000,2.343000,level_1_state_1
1765203947360,0.804000,0.597000,0.159000,0.126000,7.172000,6.475000,2.343000,level_1_state_1
1765203947462,0.805000,0.597000,0.158000,0.127000,7.172000,6.475000,2.343000,level_1_state_1
1765203948825,0.804000,0.597000,0.159000,0.127000,7.282000,6.604000,2.383000,level_1_state_1
1765203949532,0.805000,0.597000,0.158000,0.126000,7.502000,6.867000,2.465000,level_1_state_1
1765203950237,0.805000,0.596000,0.158000,0.126000,7.282000,6.604000,2.383000,level_1_state_1
1765203950893,0.804000,0.596000,0.158000,0.126000,7.172000,6.475000,2.343000,level_1_state_1
1765203951597,0.804000,0.596000,0.158000,0.126000,7.172000,6.475000,2.343000,level_1_state_1
1765203951698,0.804000,0.597000,0.157000,0.126000,7.282000,6.604000,2.383000,level_1_state_1
1765203952405,0.804000,0.596000,0.157000,0.126000,7.172000,6.475000,2.343000,level_1_state_1
1765203952608,0.803000,0.596000,0.157000,0.126000,7.282000,6.604000,2.383000,level_1_state_1
1765203953064,0.805000,0.596000,0.157000,0.125000,7.172000,6.475000,2.343000,level_1_state_1
1765203953115,0.804000,0.596000,0.156000,0.126000,7.282000,6.604000,2.383000,level_1_state_1
1765203953721,0.804000,0.597000,0.157000,0.126000,7.172000,6.475000,2.343000,level_1_state_1
1765203954329,0.803000,0.596000,0.156000,0.126000,7.282000,6.604000,2.383000,level_1_state_1
1765203954986,0.804000,0.596000,0.156000,0.126000,7.063000,6.346000,2.302000,level_1_state_1
1765203955087,0.805000,0.596000,0.156000,0.125000,7.282000,6.604000,2.383000,level_1_state_1
1765203955595,0.804000,0.597000,0.156000,0.125000,7.063000,6.346000,2.302000,level_1_state_1
